[2021-05-17 01:43:31.067] Starting up round ID 13.
 - -------------------------
[2021-05-17 02:04:16.266] TCOMMS: DanteThanatos/(Dr Oswald Casket) [Common] (spans:  ) "Sério?" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 04:24:40.406] TCOMMS: fidgetybacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Roderick tá vivo?" (language: Galactic Common) (Followers of the Apocalypse (86, 45, 2))
[2021-05-17 04:24:41.864] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Sim ?" (language: Galactic Common) (Wasteland (108, 186, 2))
[2021-05-17 04:24:50.490] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Eu roubei umas blueprints do Oasis hehe" (language: Galactic Common) (Wasteland (79, 132, 2))
[2021-05-17 04:24:58.412] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Boa" (language: Galactic Common) (Wasteland (177, 184, 2))
[2021-05-17 04:25:10.689] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tinha muita coisa la, mas não tinha como levar" (language: Galactic Common) (Wasteland (97, 159, 2))
[2021-05-17 04:25:16.014] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Peguei so as blueprints" (language: Galactic Common) (Wasteland (97, 164, 2))
[2021-05-17 04:26:02.151] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Sim." (language: Galactic Common) (Caves (85, 64, 3))
[2021-05-17 04:26:16.492] TCOMMS: fidgetybacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "A gente encontrou muita coisa" (language: Galactic Common) (Followers of the Apocalypse (85, 46, 2))
[2021-05-17 04:26:26.803] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daria, posição." (language: Galactic Common) (Wasteland (95, 220, 2))
[2021-05-17 04:26:27.782] TCOMMS: fidgetybacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Inclusive uma power armor e uma deathclaw cloak" (language: Galactic Common) (Followers of the Apocalypse (85, 46, 2))
[2021-05-17 04:26:56.131] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daria?" (language: Galactic Common) (Wasteland (142, 183, 2))
[2021-05-17 04:27:02.566] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "To na base" (language: Galactic Common) (Brotherhood of Steel (173, 217, 2))
[2021-05-17 04:27:06.533] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ata susto" (language: Galactic Common) (Wasteland (178, 185, 2))
[2021-05-17 04:27:13.541] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Pensei que tinha ido dessa pra pior" (language: Galactic Common) (Wasteland (178, 185, 2))
[2021-05-17 04:27:36.033] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Aoba?" (language: Galactic Common) (Caves (90, 240, 2))
[2021-05-17 04:27:46.574] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vou levar as blueprints la pra baixo" (language: Galactic Common) (Brotherhood of Steel (166, 228, 2))
[2021-05-17 04:28:19.660] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Negocio 3 blueprints" (language: Galactic Common) (Brotherhood of Steel (170, 218, 2))
[2021-05-17 04:28:35.847] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Acho que vai da pra epsquisa tudo" (language: Galactic Common) (Brotherhood of Steel (175, 219, 2))
[2021-05-17 04:28:48.227] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ta negociando o que?" (language: Galactic Common) (Brotherhood of Steel RnD Department (236, 194, 3))
[2021-05-17 04:29:01.022] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Negocie 3 blue prints" (language: Galactic Common) (Brotherhood of Steel (127, 237, 2))
[2021-05-17 04:29:11.641] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se quer negociar as blueprints?" (language: Galactic Common) (Brotherhood of Steel RnD Department (237, 193, 3))
[2021-05-17 04:29:24.308] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "O cara me deu 3 blue prints" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 240, 3))
[2021-05-17 04:29:28.969] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Aa" (language: Galactic Common) (Brotherhood of Steel RnD Department (237, 193, 3))
[2021-05-17 04:29:34.274] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Em troca do que?" (language: Galactic Common) (Brotherhood of Steel RnD Department (237, 193, 3))
[2021-05-17 04:29:36.102] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Por weld e por dril e por uma jaw sla oq" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 240, 3))
[2021-05-17 04:29:46.614] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Posso fazer aqui" (language: Galactic Common) (Brotherhood of Steel RnD Department (230, 199, 3))
[2021-05-17 04:29:50.610] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "So falar que eu levro" (language: Galactic Common) (Brotherhood of Steel RnD Department (230, 199, 3))
[2021-05-17 04:29:52.349] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Vou fazer ferramenta mas avançanda ainda heheh" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 231, 3))
[2021-05-17 04:30:13.745] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vou ler as blueprints" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 194, 3))
[2021-05-17 04:31:58.681] TCOMMS: eversonblr/(Daria Basinger) [Common] (spans:  ) "Alguem tem ferramenta aleligena ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 199, 3))
[2021-05-17 04:32:07.029] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vou tentar fazer esse rifle de anti-material" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 194, 3))
[2021-05-17 04:37:00.276] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vou pegar scraps" (language: Galactic Common) (Brotherhood of Steel RnD Department (227, 209, 3))
[2021-05-17 04:40:17.652] TCOMMS: johonasmexicanjo/(Heather Rose) [BOS] (spans:  ) "Hola." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (235, 247, 3))
[2021-05-17 04:40:28.692] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ola" (language: Galactic Common) (Brotherhood of Steel (170, 222, 2))
[2021-05-17 04:40:47.248] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Identifique-se, Heather." (language: Galactic Common) (Brotherhood of Steel (170, 222, 2))
[2021-05-17 04:41:01.112] TCOMMS: johonasmexicanjo/(Heather Rose) [BOS] (spans:  ) "Star Knight Heather Rose." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (236, 245, 3))
[2021-05-17 04:41:13.062] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo, Dina onde se tá?" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-17 04:41:23.629] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Diara" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-17 04:41:50.516] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daira?" (language: Galactic Common) (Brotherhood of Steel (169, 221, 2))
[2021-05-17 04:42:18.245] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daira, posição." (language: Galactic Common) (Brotherhood of Steel (168, 220, 2))
[2021-05-17 04:43:24.096] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Heather, posição." (language: Galactic Common) (Brotherhood of Steel (170, 219, 2))
[2021-05-17 04:44:01.182] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Heather?" (language: Galactic Common) (Brotherhood of Steel (170, 219, 2))
[2021-05-17 04:44:07.695] TCOMMS: johonasmexicanjo/(Heather Rose) [BOS] (spans:  ) "Eu tô na base." (language: Galactic Common) (Brotherhood of Steel Leisure Areas (231, 248, 3))
[2021-05-17 04:44:12.568] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Wasteland (170, 215, 2))
[2021-05-17 04:47:07.494] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Temos como produzir lança chamas ?" (language: Galactic Common) (Caves (92, 240, 2))
[2021-05-17 04:47:18.049] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Até que fim se respondeu Daria" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 193, 3))
[2021-05-17 04:47:23.998] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Achei que tinha morrido" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 193, 3))
[2021-05-17 04:47:32.338] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "To negociando com os cara aque" (language: Galactic Common) (Caves (92, 240, 2))
[2021-05-17 04:47:36.100] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Heather, pode ficar de olho na encima?" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 193, 3))
[2021-05-17 04:47:53.011] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Eles pergutaram se termos lança chamas" (language: Galactic Common) (Caves (92, 240, 2))
[2021-05-17 04:48:01.316] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Deixa eu ver" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 193, 3))
[2021-05-17 04:48:06.656] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Caves (92, 240, 2))
[2021-05-17 04:48:56.746] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Temos não" (language: Galactic Common) (Brotherhood of Steel RnD Department (238, 194, 3))
[2021-05-17 04:50:47.834] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daira" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 193, 3))
[2021-05-17 04:50:51.470] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Sim ?" (language: Galactic Common) (Caves (93, 240, 2))
[2021-05-17 04:50:54.098] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Pergunta se eles tem 4 high quality metal parts" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 193, 3))
[2021-05-17 04:51:32.911] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Heather, desce aqui no bunker." (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 200, 3))
[2021-05-17 04:51:38.179] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Eles tem" (language: Galactic Common) (Caves (92, 240, 2))
[2021-05-17 04:51:50.868] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O que eles querem trocar pela 4 high quality metal parts?" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 194, 3))
[2021-05-17 04:53:28.018] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tenta levar algo pra tazer os scraps" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 199, 3))
[2021-05-17 04:53:34.437] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Mochila ou alguma coisa" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 199, 3))
[2021-05-17 04:54:02.698] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Tem como você vir aqui pra fechar o portão?" (language: Galactic Common) (Brotherhood of Steel (168, 220, 2))
[2021-05-17 04:54:19.085] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Daira, o que eles querem em troc?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 203, 3))
[2021-05-17 04:54:21.527] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Estou com um convidade que vai comprar coisas" (language: Galactic Common) (Wasteland (169, 213, 2))
[2021-05-17 04:54:30.192] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tá" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 204, 3))
[2021-05-17 04:54:48.823] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Eu deixo ele na parte de cima ou levo pra parte de baixo ?" (language: Galactic Common) (Brotherhood of Steel (165, 234, 2))
[2021-05-17 04:56:37.450] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Essa máscara não me protege." (language: Galactic Common) (Wasteland (208, 185, 2))
[2021-05-17 04:56:56.389] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se tem que colocar ela na sua cara e nao deixar levantada" (language: Galactic Common) (Brotherhood of Steel (164, 237, 2))
[2021-05-17 04:57:00.489] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Deixa a mascara abaixada" (language: Galactic Common) (Brotherhood of Steel (164, 237, 2))
[2021-05-17 04:57:06.176] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Sim, ela tava abaixada." (language: Galactic Common) (Wasteland (198, 185, 2))
[2021-05-17 04:57:34.441] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Eu tô voltando, fabrica um welding helmet pra mim, por favor." (language: Galactic Common) (Wasteland (173, 201, 2))
[2021-05-17 04:59:55.254] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Oi?" (language: Galactic Common) (Wasteland (96, 213, 2))
[2021-05-17 05:02:57.094] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Estamos terminandos todas pesquisas." (language: Galactic Common) (Brotherhood of Steel RnD Department (232, 205, 3))
[2021-05-17 05:04:01.475] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "O ore redemption é conetado com as maquina ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (229, 201, 3))
[2021-05-17 05:06:58.743] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Pode ficar fora de serviço Heather, ou fica no portão cuidando" (language: Galactic Common) (Brotherhood of Steel RnD Department (236, 194, 3))
[2021-05-17 05:11:47.248] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Chefe ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 194, 3))
[2021-05-17 05:12:01.648] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Chefe ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (232, 211, 3))
[2021-05-17 05:12:04.942] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sim?" (language: Galactic Common) (Brotherhood of Steel RnD Department (240, 204, 3))
[2021-05-17 05:14:58.981] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Ea gora ?" (language: Galactic Common) (Brotherhood of Steel RnD Department (234, 208, 3))
[2021-05-17 05:17:12.264] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Irei entrar em torpor." (language: Galactic Common) (Followers of the Apocalypse (86, 53, 3))
[2021-05-17 05:17:21.519] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Um?!" (language: Galactic Common) (Followers of the Apocalypse (86, 52, 3))
[2021-05-17 05:21:06.882] TCOMMS: eversonblr/(Daria Basinger) [BOS] (spans:  ) "Esqueci de pega uma caixa que merda" (language: Galactic Common) (Wasteland (187, 183, 2))
[2021-05-17 05:21:08.625] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Vou andar por aí." (language: Galactic Common) (Brotherhood of Steel (126, 238, 2))
[2021-05-17 05:21:41.900] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Galera precisamos de scraps, blackpowder para craftar mais paradas. Como a bala .50 do rifle que  é cara de recurso pra fazer." (language: Galactic Common) (Brotherhood of Steel RnD Department (237, 194, 3))
[2021-05-17 05:21:57.698] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vou minerar atrás de recursos como iron" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 194, 3))
[2021-05-17 05:22:13.981] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ses puderem fazer os scraps por ai e trazer, seria pica" (language: Galactic Common) (Brotherhood of Steel RnD Department (228, 201, 3))
[2021-05-17 05:31:04.129] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Cês tão sabendo dessa base no meio da parede?" (language: Galactic Common) (Wasteland (93, 224, 2))
[2021-05-17 05:31:17.584] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sim" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 193, 3))
[2021-05-17 05:31:23.184] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "É dos Sucateiros" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 193, 3))
[2021-05-17 05:31:24.490] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "O que tem lá?" (language: Galactic Common) (Bunker (44, 235, 4))
[2021-05-17 05:31:27.331] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Ah." (language: Galactic Common) (Bunker (44, 236, 4))
[2021-05-17 05:31:29.203] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Que fizemos a troca" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 193, 3))
[2021-05-17 05:31:56.852] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Mano eu to a muito tempo me coçando pra invadir a base do Enclave a roubar as parada de lá" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 194, 3))
[2021-05-17 05:32:18.192] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Tem Enclave?" (language: Galactic Common) (North Bunker Elevator (44, 233, 4))
[2021-05-17 05:32:26.848] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Sim, ele tem uma base no esgoto" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 201, 3))
[2021-05-17 05:32:32.703] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Atrás de uma parede secreta" (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 201, 3))
[2021-05-17 05:32:36.554] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Tá, mas tem Enclave ++agora++?" (language: Galactic Common) (North Bunker Elevator (44, 233, 4))
[2021-05-17 05:33:02.852] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tinha, mas não sei ainda." (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 227, 3))
[2021-05-17 05:33:10.984] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Foi fazer uma visita no Oasis" (language: Galactic Common) (Brotherhood of Steel Operations Department (230, 229, 3))
[2021-05-17 05:33:11.917] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Lembre-se que há o rádio." (language: Galactic Common) (Wasteland (96, 61, 2))
[2021-05-17 05:33:16.668] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ver se tem alguém la" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 230, 3))
[2021-05-17 05:33:18.606] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Sim claro" (language: Galactic Common) (Followers of the Apocalypse (84, 58, 2))
[2021-05-17 05:33:36.978] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Sera que ela morreu?" (language: Galactic Common) (Followers of the Apocalypse (84, 57, 2))
[2021-05-17 05:33:44.194] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "CARALHO" (language: Galactic Common) (North Bunker Elevator (44, 233, 4))
[2021-05-17 05:33:46.908] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Odeio Wanamingo" (language: Galactic Common) (North Bunker Elevator (44, 233, 4))
[2021-05-17 05:33:48.919] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O QUE?" (language: Galactic Common) (Brotherhood of Steel (151, 247, 2))
[2021-05-17 05:33:53.266] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "..." (language: Galactic Common) (Brotherhood of Steel (151, 241, 2))
[2021-05-17 05:34:09.170] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Eu quase morri pra uns três wanamingo." (language: Galactic Common) (North Bunker Elevator (45, 233, 4))
[2021-05-17 05:34:15.751] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Cuidado" (language: Galactic Common) (Wasteland (181, 192, 2))
[2021-05-17 05:34:33.315] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Alo" (language: Galactic Common) (Caves (93, 238, 2))
[2021-05-17 05:34:34.779] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Alo" (language: Galactic Common) (Caves (91, 245, 2))
[2021-05-17 05:34:38.113] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Ala foi" (language: Galactic Common) (Caves (91, 245, 2))
[2021-05-17 05:34:40.333] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alias não sei se tu sabe, temos um prisoneiro na cela" (language: Galactic Common) (Wasteland (129, 184, 2))
[2021-05-17 05:34:41.537] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Aoba" (language: Galactic Common) (Caves (98, 237, 2))
[2021-05-17 05:34:44.514] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Show" (language: Galactic Common) (Caves (92, 238, 2))
[2021-05-17 05:34:45.077] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Foi?" (language: Galactic Common) (Caves (98, 237, 2))
[2021-05-17 05:34:45.562] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Tem que deixar o fone aberto" (language: Galactic Common) (Caves (91, 245, 2))
[2021-05-17 05:34:46.119] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ta na prisão" (language: Galactic Common) (Wasteland (126, 183, 2))
[2021-05-17 05:34:52.588] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Funcionou" (language: Galactic Common) (Caves (91, 240, 2))
[2021-05-17 05:34:56.582] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Beleza" (language: Galactic Common) (Caves (93, 240, 2))
[2021-05-17 05:35:04.245] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Acho que a gente pode deixar o fone aberto" (language: Galactic Common) (Caves (91, 240, 2))
[2021-05-17 05:35:12.762] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Tranquilo" (language: Galactic Common) (Caves (93, 240, 2))
[2021-05-17 05:35:43.993] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Vo quebra sei tirar não" (language: Galactic Common) (Caves (91, 237, 2))
[2021-05-17 05:35:44.050] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Seria bom deixa essa de ferro.." (language: Galactic Common) (Caves (93, 239, 2))
[2021-05-17 05:36:03.227] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Pra proteção" (language: Galactic Common) (Caves (93, 239, 2))
[2021-05-17 05:36:03.234] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Contra exploões algo do tipo" (language: Galactic Common) (Caves (93, 239, 2))
[2021-05-17 05:36:03.258] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Deixar essa e colocar outra" (language: Galactic Common) (Caves (90, 238, 2))
[2021-05-17 05:36:09.024] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Okay" (language: Galactic Common) (Caves (91, 238, 2))
[2021-05-17 05:36:11.817] TCOMMS: JohonasMexicanjo/(Heather Rose) [147.3] (spans:  ) "E" (language: Galactic Common) (Caves (91, 235, 2))
[2021-05-17 05:36:14.068] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Opa" (language: Galactic Common) (Caves (90, 238, 2))
[2021-05-17 05:36:15.308] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Eae" (language: Galactic Common) (Caves (91, 238, 2))
[2021-05-17 05:36:24.819] TCOMMS: JohonasMexicanjo/(Heather Rose) [147.3] (spans:  ) "Vocês têm alguma stimpack por aqui?" (language: Galactic Common) (Caves (91, 235, 2))
[2021-05-17 05:36:27.565] TCOMMS: JohonasMexicanjo/(Heather Rose) [147.3] (spans:  ) "Só preciso de uma." (language: Galactic Common) (Caves (91, 235, 2))
[2021-05-17 05:36:30.756] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Sim" (language: Galactic Common) (Caves (90, 238, 2))
[2021-05-17 05:36:36.758] TCOMMS: JohonasMexicanjo/(Heather Rose) [147.3] (spans:  ) "Obrigada." (language: Galactic Common) (Caves (91, 236, 2))
[2021-05-17 05:36:38.950] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "De nada" (language: Galactic Common) (Caves (90, 238, 2))
[2021-05-17 05:36:41.175] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Havia avistado um homem na estrada principal, estava com cobertura médica." (language: Galactic Common) (Wasteland (233, 80, 2))
[2021-05-17 05:36:52.562] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Pro botão funcionar" (language: Galactic Common) (Caves (91, 238, 2))
[2021-05-17 05:36:58.224] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "E por a airlock ali" (language: Galactic Common) (Caves (90, 238, 2))
[2021-05-17 05:36:58.794] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Puts.." (language: Galactic Common) (Caves (93, 239, 2))
[2021-05-17 05:36:59.932] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Acho que funciona" (language: Galactic Common) (Caves (90, 240, 2))
[2021-05-17 05:37:03.594] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Com sistema" (language: Galactic Common) (Caves (90, 240, 2))
[2021-05-17 05:37:03.833] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Ele esta bem?" (language: Galactic Common) (Followers of the Apocalypse (84, 56, 2))
[2021-05-17 05:37:06.455] TCOMMS: Zircony/(Natasha Harding) [147.3] (spans:  ) "Vamo ve" (language: Galactic Common) (Caves (90, 238, 2))
[2021-05-17 05:37:09.095] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Sim." (language: Galactic Common) (Wasteland (211, 61, 2))
[2021-05-17 05:37:16.597] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Deixa o radio" (language: Galactic Common) (Caves (90, 239, 2))
[2021-05-17 05:37:19.435] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Sim" (language: Galactic Common) (Caves (92, 238, 2))
[2021-05-17 05:37:21.147] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Em outra sala" (language: Galactic Common) (Caves (90, 239, 2))
[2021-05-17 05:37:27.433] TCOMMS: brunoasbahr/(Montagne Marshall) [147.3] (spans:  ) "Pode ser" (language: Galactic Common) (Caves (92, 237, 2))
[2021-05-17 05:37:27.803] TCOMMS: Luciam/(Victoria Valentine) [147.3] (spans:  ) "Ta meio chato" (language: Galactic Common) (Caves (92, 239, 2))
